id,library,xai_graph_type,analytical_family,ai_problem_type,scope,qwen_score,pixtral_score,idefics_score,summary_score,rag_solution_score
000001,SHAP,Waterfall,Local_Attribution,Regression,Local,0.7423685,0.735295,0.72952914,0.7581562,0.75165474
000002,SHAP,Force,Local_Attribution,Regression,Local,0.739119,0.6845936,0.69217634,0.72144693,0.70674664
000003,SHAP,Bar,Local_Attribution,Regression,Local,0.73395234,0.74814737,0.75401133,0.73109996,0.73575073
000004,SHAP,Bar,Cohort_Pattern,Regression,Cohort,0.7494076,0.6967042,0.6516904,0.7334773,0.7206379
000005,SHAP,Bar,Global_Summary,Regression,Global,0.737824,0.7357778,0.74432385,0.7162985,0.73623556
000006,SHAP,Beeswarm,Global_Summary,Regression,Global,0.750184,0.7446851,0.77263236,0.70861906,0.75597346
000007,SHAP,Violin,Global_Summary,Regression,Global,0.75972974,0.75691104,0.7495949,0.7148299,0.74247426
000008,SHAP,Scatter,Dependence_Curve,Regression,Global,0.72206503,0.7059864,0.68710154,0.71336603,0.706765
000009,SHAP,Heatmap,Dense_Tracking,Regression,Global,0.73480016,0.7050667,0.72657436,0.7006868,0.7248333
000010,SHAP,Decision,Cohort_Pattern,Regression,Cohort,0.6849518,0.70528483,0.7084772,0.67111367,0.7018064
000011,SHAP,Waterfall,Local_Attribution,Regression,Local,0.76379013,0.7452241,0.7219729,0.71088594,0.7473894
000012,SHAP,Force,Local_Attribution,Regression,Local,0.7064455,0.70145446,0.6853861,0.66430867,0.70577306
000013,SHAP,Bar,Local_Attribution,Regression,Local,0.74723357,0.7647104,0.73192775,0.7547301,0.7525674
000014,SHAP,Bar,Cohort_Pattern,Regression,Cohort,0.73690337,0.7077208,0.67366636,0.7198853,0.71918553
000015,SHAP,Bar,Global_Summary,Regression,Global,0.7314757,0.72819203,0.73411983,0.732349,0.7538134
000016,SHAP,Beeswarm,Global_Summary,Regression,Global,0.76559883,0.76465845,0.76269674,0.7235273,0.7651243
000017,SHAP,Violin,Global_Summary,Regression,Global,0.735923,0.74852544,0.75006604,0.7446197,0.7616481
000018,SHAP,Scatter,Dependence_Curve,Regression,Global,0.70667326,0.7044181,0.7140643,0.69187856,0.7047391
000019,SHAP,Heatmap,Dense_Tracking,Regression,Global,0.7582288,0.7210434,0.70454776,0.7441424,0.72544414
000020,SHAP,Decision,Cohort_Pattern,Regression,Cohort,0.6918706,0.68584317,0.6918765,0.66491884,0.7191729
000021,SHAP,Waterfall,Local_Attribution,Regression,Local,0.76069134,0.7384475,0.6938795,0.7438799,0.7436972
000022,SHAP,Force,Local_Attribution,Regression,Local,0.7146165,0.67401326,0.6964447,0.6927205,0.7161238
000023,SHAP,Bar,Local_Attribution,Regression,Local,0.767785,0.7447565,0.7553766,0.7255523,0.7452393
000024,SHAP,Bar,Cohort_Pattern,Regression,Cohort,0.7374236,0.6936576,0.6767465,0.7393307,0.6710652
000025,SHAP,Bar,Global_Summary,Regression,Global,0.7336792,0.68617594,0.7070773,0.7263791,0.73890257
000026,SHAP,Beeswarm,Global_Summary,Regression,Global,0.7564189,0.75398576,0.7743088,0.7378767,0.7447513
000027,SHAP,Violin,Global_Summary,Regression,Global,0.77846885,0.73292005,0.7728956,0.7593074,0.7484313
